epochtime,accelX,accelY,accelZ,magnX,magnY,magnZ,gyroX,gyroY,gyroZ
1398383831,-1213,103,-24,-20,2859,-232,-1374,-4101,3800
1398383831,-1224,58,-55,-52,2859,-232,-968,-3342,3259
1398383831,-1313,103,-78,-80,2865,-226,-247,-1866,3955
1398383831,-1312,62,-51,-122,2883,-229,-739,-2350,8000
1398383831,-1320,24,-154,-198,2901,-213,-1,-527,9965
1398383831,-1490,-135,-142,-265,2934,-215,252,592,6765
1398383831,-1490,-112,-78,-283,2943,-215,-224,-317,596
1398383831,-1490,-112,-53,-287,2937,-212,-223,-65,418
1398383831,-1309,-98,-53,-287,2937,-220,-254,-62,424
1398383831,-1235,-135,-141,-284,2929,-220,248,100,258
1398383831,-1241,-145,-106,-295,2939,-228,101,97,-510
1398383831,-1347,-50,-78,-287,2938,-220,-453,-340,-1108
1398383831,-1292,-117,-40,-285,2942,-217,-579,-604,-376
1398383831,-1292,-117,-16,-283,2941,-226,-459,-707,46
1398383831,-1338,-124,-16,-283,2941,-226,-565,-753,-618
1398383831,-1284,-78,-55,-286,2941,-233,-947,-37,-1248
1398383831,-1191,-125,-51,-274,2938,-237,-973,1211,-1310
1398383831,-1245,-111,-65,-265,2941,-241,-782,1513,-1472
1398383831,-1246,-73,-66,-260,2936,-244,-657,1511,-1961
1398383831,-1246,-73,-93,-243,2927,-260,-534,1584,-2996
1398383831,-1284,-66,-93,-243,2927,-260,-656,1582,-3242
1398383831,-1474,-2,-9,-222,2923,-258,-320,324,-5804
1398383831,-1803,34,-12,-174,2904,-268,-75,141,-11223
1398383831,-3812,-180,5,-12,2839,-267,640,-285,-29819
1398383831,-6339,-184,-185,347,2650,-283,201,305,-32758
1398383831,-6339,-184,-185,859,2261,-322,-4234,-1119,-32764
1398383831,-6143,262,393,829,2261,-322,-3642,-2357,-32764
1398383831,-3903,-141,713,1214,1709,-352,861,-5071,-32764
1398383831,-1447,-1289,505,1435,1028,-315,1830,-16976,-32764
1398383831,980,-2438,290,1411,314,-195,2726,-22593,-32764
1398383831,980,-2202,-224,1206,-258,-103,6824,-14303,-32764
1398383831,2092,-2202,-224,1206,-514,-95,5925,-8494,-32764
1398383831,2893,-1586,-247,972,-618,-95,4877,1173,-27489
1398383831,2322,-105,-161,856,-750,-134,6258,5144,-832
1398383831,536,443,89,862,-756,-195,5857,3802,1942
1398383831,410,840,31,869,-747,-218,-383,253,1149
1398383831,410,1096,-34,881,-722,-211,-2006,390,2680
1398383831,369,1238,-34,881,-722,-212,-1268,2233,5166
1398383831,36,1367,-96,910,-695,-212,-421,2313,4009
1398383831,59,1424,-67,929,-660,-233,1095,1950,3857
1398383831,-59,1519,-31,951,-643,-247,1677,1412,3172
1398383831,-126,1626,3,965,-618,-257,1575,1121,2588
1398383831,-126,1626,3,965,-604,-265,775,112,1749
1398383831,-87,1598,4,965,-604,-265,286,-403,1141
1398383831,-1,1444,41,976,-600,-264,-168,-649,-122
1398383831,65,1351,41,972,-603,-250,-287,-520,-672
1398383831,171,1294,-48,970,-607,-250,-169,-290,-409
1398383831,171,1304,-45,972,-601,-254,155,414,382
1398383831,140,1304,-45,972,-603,-260,310,571,410
1398383831,141,1343,-11,972,-603,-260,410,633,662
1398383831,128,1367,-7,978,-591,-266,286,367,873
1398383831,54,1403,3,977,-596,-263,-76,-175,782
1398383831,-47,1461,3,978,-583,-269,-197,-537,-25
1398383831,-47,1487,-51,985,-592,-263,-187,-505,-776
1398383831,-11,1469,-78,968,-594,-265,-99,-62,-1901
1398383831,-14,1457,-13,961,-612,-265,-89,29,-2404
1398383832,-14,1457,34,948,-628,-263,-231,-205,-3247
1398383832,-4,1453,34,948,-628,-253,-505,-586,-3796
1398383832,50,1438,25,935,-645,-253,-1119,-1410,-3412
1398383832,82,1434,4,911,-678,-245,-1247,-1669,-3234
1398383832,171,1363,-61,906,-689,-242,-939,-1425,-3334
1398383832,198,1332,-81,887,-700,-227,-106,-619,-3155
1398383832,198,1332,-88,868,-735,-225,356,-115,-3131
1398383832,140,1333,-88,868,-735,-225,922,447,-2751
1398383832,83,1397,-68,846,-741,-241,1045,552,-2538
1398383832,46,1446,-29,845,-765,-244,977,499,-2663
1398383832,28,1471,-3,826,-776,-256,957,187,-3387
1398383832,193,1410,42,808,-801,-263,847,-55,-3719
1398383832,193,1410,42,808,-814,-269,258,-719,-2810
1398383832,576,1116,136,792,-814,-269,-165,-1106,3119
1398383832,2067,140,173,797,-802,-260,-539,-1200,14068
1398383832,3853,-1004,106,927,-656,-258,-1777,1950,32740
1398383832,3973,-2135,121,1234,-193,-233,-8666,2879,32740
1398383832,3973,-3345,1017,1458,554,-234,-11287,5142,32740
1398383832,2931,-3345,1017,1458,1518,-275,-3928,9150,32740
1398383832,-595,-4167,395,1343,1518,-275,7531,15100,32740
1398383832,-5738,-3606,-100,786,2358,-291,6504,12847,32740
1398383832,-8503,-2204,-963,229,2735,-280,-5937,1108,32185
1398383832,-5693,-1558,437,32,2810,-315,-6299,-5101,8280
1398383832,-5693,-163,490,-20,2819,-319,-4830,-6381,5689
1398383832,-3537,-163,490,-20,2819,-306,-2803,-5616,2418
1398383832,-2015,803,200,-38,2819,-306,-1122,-5439,1977
1398383832,-1254,977,-70,-48,2818,-293,1006,-3336,1789
1398383832,-1297,639,-191,-50,2820,-270,1200,-662,-1614
1398383832,-1488,418,-63,-37,2809,-272,1111,-148,-2031
1398383832,-1488,162,-13,-29,2806,-271,542,537,-1158
1398383832,-1399,206,-13,-29,2806,-269,389,1030,-2034
1398383832,-1251,72,-19,-3,2800,-269,70,1441,-4319
1398383832,-1209,36,11,35,2788,-279,-106,1428,-4083
1398383832,-1088,49,46,58,2780,-290,-702,1248,-3655
1398383832,-976,76,5,75,2764,-303,-628,1640,-1574
